Suburb,Postcode,Longitude,Latitude
BILAMBIL HEIGHTS,2486,153.4833374,-28.20000076
BILBUL,2680,146.1333313,-34.28333282
BILGOLA,2107,151.31666565,-33.63333511
BILGOLA BEACH,2107,151.31666565,-33.63333511
BILGOLA PLATEAU,2107,151.31666565,-33.61666489
BILLILINGRA,2630,149.1166687,-36
BILLIMARI,2804,148.6166687,-33.66666794
BILLINUDGEL,2483,153.5166626,-28.5
BILLYRIMBA,2372,152.2333374,-29.16666603
BILLYS CREEK,2453,152.58332825,-30.14999962
BILLYWILLINGA,2795,149.43333435,-33.26666641
BILPIN,2758,150.5166626,-33.5
BIMBAYA,2550,149.6499939,-36.71666718
BIMBI,2810,147.93333435,-34.03333282
BIMBIMBIE,2536,150.1333313,-35.81499863
BINALONG,2584,148.6333313,-34.66666794
BINDA,2583,149.3666687,-34.33333206
BINDAWALLA,2350,151.30000305,-30.26666641
BINDERA,2422,151.81666565,-32
BINDOGUNDRA,2870,148.30000305,-33.11666489
BINGARA,2404,150.56666565,-29.86666679
BINGEEBEEBRA,2469,152.7666626,-28.76666641
BINGIE,2537,150.14332581,-36.00999832
BINGLEBURRA,2311,151.6166687,-32.36666489
BINIGUY,2394,150.1333313,-29.56666756
BINIGUY,2399,150.1333313,-29.56666756
BINJURA,2630,149.1000061,-36.16666794
BINNA BURRA,2479,153.4833374,-28.70000076
BINNAWAY,2395,149.3833313,-31.54999924
BINYA,2665,146.3500061,-34.23333359
BIRAGANBIL,2852,149.41667175,-32.40000153
BIRCHGROVE,2041,151.16667175,-33.84999847
BIRDLIP,2655,147.18333435,-35.29999924
BIRDWOOD,2446,152.33332825,-31.33333397
BIRGANBIGIL,2710,145.1333313,-35.5
BIRMINGHAM GARDENS,2287,151.68333435,-32.88333511
BIRREGO,2700,146.58332825,-35
BIRRIWA,2844,149.46665955,-32.11666489
BIRRONG,2143,151.0166626,-33.88333511
BISHOPS BRIDGE,2326,151.46665955,-32.73333359
BITHRAMERE,2340,150.7666626,-31.11666679
BLACK CREEK,2439,148.0166626,-35.31666565
BLACK CREEK,2729,148.0166626,-35.31666565
BLACK HEAD,2430,152.53334045,-32.06666565
BLACK HILL,2322,151.61166382,-32.84000015
BLACK HOLLOW,2828,148.8500061,-31.08333397
BLACK MOUNTAIN,2365,151.6499939,-30.31666756
BLACK RANGE,2550,149.83332825,-36.73333359
BLACK ROCK,2820,148.93333435,-32.65000153
BLACK SPRINGS,2787,150.83332825,-29.70000076
BLACK SWAMP,2372,152.1499939,-29.01666641
BLACKALLS PARK,2283,151.58332825,-33
BLACKBUTT,2529,150.83332825,-34.56666565
BLACKETT,2770,150.81666565,-33.73333359
BLACKHEATH,2785,150.28334045,-33.63333511
BLACKMANS FLAT,2790,150.06666565,-33.33333206
BLACKMANS POINT,2444,152.8500061,-31.41666603
BLACKSMITHS,2281,151.6499939,-33.06666565
BLACKTOWN,2148,150.8999939,-33.76666641
BLACKVILLE,2343,150.2333374,-31.63333321
BLACKWALL,2256,151.31666565,-33.5
BLAIR ATHOL,2560,150.80000305,-34.04999924
BLAIRMOUNT,2559,150.78334045,-34.04999924
BLAKEBROOK,2480,153.25,-28.75
BLAKEHURST,2221,151.1000061,-34
BLAKNEY CREEK,2581,149.0166626,-34.63333511
BLAND,2721,147.66667175,-33.65000153
BLANDFORD,2338,150.8999939,-31.78333282
BLANKET FLAT,2583,149.19999695,-34.13333511
BLAXCELL,2142,151,-33.84999847
BLAXLAND,2774,150.6000061,-33.75
BLAXLANDS CREEK,2460,152.80000305,-29.86666679
BLAXLANDS FLAT,2460,152.78334045,-29.89999962
BLAXLANDS RIDGE,2758,150.71665955,-33.5
BLAYNEY,2799,149.25,-33.53333282
BLETCHINGTON,2800,149.1000061,-33.25
BLIGH PARK,2756,150.78334045,-33.63333511
BLIGHTY,2713,145.28334045,-35.58333206
BLOOMFIELD,2800,149.1000061,-33.29999924
BLOWERING,2720,148.25,-35.48333359
BLUE BAY,2261,151.5,-33.34999847
BLUE HAVEN,2262,151.4833374,-33.20000076
BLUE KNOB,2480,153.18333435,-28.53333282
BLUE LAGOON,2261,151.4833374,-33.36666489
BLUE VALE,2380,150.18333435,-30.81666756
BLUEYS BEACH,2428,152.5166626,-32.34999847
BLUFF ROCK,2372,152,-29.14999962
BOAMBEE,2450,153.08332825,-30.33333397
BOAMBEE EAST,2452,153.06666565,-30.33333397
BOAT HARBOUR,2316,152.1083374,-32.7816658
BOAT HARBOUR,2480,153.3500061,-28.33333397
BOBBIN HEAD,2074,151.1499939,-33.65000153
BOBIN,2429,152.28334045,-31.71500015
BOBS CREEK,2443,152.75,-31.58333397
BOBS FARM,2316,152.0166626,-32.76666641
BOBUNDARA,2630,148.9833374,-36.46666718
BOCOBLE,2850,149.71665955,-32.78333282
BODALLA,2545,150.08332825,-36.09000015
BODANGORA,2820,148.9833374,-32.45000076
